N,itm,Date,u,v
1,1,2025-09-30 18:30:00,-0.1,0.14
2,2,2025-09-30 19:30:00,-0.09,0.15
3,3,2025-09-30 20:30:00,-0.08,0.16
4,4,2025-09-30 21:30:00,-0.09,0.17
5,5,2025-09-30 22:30:00,-0.09,0.17
6,6,2025-09-30 23:30:00,-0.1,0.17
7,7,2025-10-01 00:30:00,-0.11,0.17
8,8,2025-10-01 01:30:00,-0.13,0.17
9,9,2025-10-01 02:30:00,-0.15,0.17
10,10,2025-10-01 03:30:00,-0.16,0.19
11,11,2025-10-01 04:30:00,-0.16,0.21
12,12,2025-10-01 05:30:00,-0.17,0.25
13,13,2025-10-01 06:30:00,-0.16,0.27
14,14,2025-10-01 07:30:00,-0.15,0.3
15,15,2025-10-01 08:30:00,-0.15,0.32
16,16,2025-10-01 09:30:00,-0.15,0.34
17,17,2025-10-01 10:30:00,-0.15,0.35
18,18,2025-10-01 11:30:00,-0.15,0.35
19,19,2025-10-01 12:30:00,-0.15,0.35
20,20,2025-10-01 13:30:00,-0.15,0.35
21,21,2025-10-01 14:30:00,-0.15,0.34
22,22,2025-10-01 15:30:00,-0.15,0.32
23,23,2025-10-01 16:30:00,-0.15,0.29
24,24,2025-10-01 17:30:00,-0.15,0.27
25,25,2025-10-01 18:30:00,-0.16,0.25
26,26,2025-10-01 19:30:00,-0.16,0.24
27,27,2025-10-01 20:30:00,-0.16,0.23
28,28,2025-10-01 21:30:00,-0.15,0.23
29,29,2025-10-01 22:30:00,-0.14,0.24
30,30,2025-10-01 23:30:00,-0.14,0.25
31,31,2025-10-02 00:30:00,-0.14,0.27
32,32,2025-10-02 01:30:00,-0.15,0.29
33,33,2025-10-02 02:30:00,-0.15,0.32
34,34,2025-10-02 03:30:00,-0.15,0.33
35,35,2025-10-02 04:30:00,-0.15,0.34
36,36,2025-10-02 05:30:00,-0.15,0.36
37,37,2025-10-02 06:30:00,-0.15,0.36
38,38,2025-10-02 07:30:00,-0.16,0.36
39,39,2025-10-02 08:30:00,-0.17,0.36
40,40,2025-10-02 09:30:00,-0.19,0.36
41,41,2025-10-02 10:30:00,-0.19,0.38
42,42,2025-10-02 11:30:00,-0.18,0.4
43,43,2025-10-02 12:30:00,-0.16,0.41
44,44,2025-10-02 13:30:00,-0.14,0.41
45,45,2025-10-02 14:30:00,-0.13,0.41
46,46,2025-10-02 15:30:00,-0.12,0.4
47,47,2025-10-02 16:30:00,-0.11,0.39
48,48,2025-10-02 17:30:00,-0.1,0.37
49,49,2025-10-02 18:30:00,-0.11,0.35
50,50,2025-10-02 19:30:00,-0.11,0.32
51,51,2025-10-02 20:30:00,-0.11,0.29
52,52,2025-10-02 21:30:00,-0.11,0.27
53,53,2025-10-02 22:30:00,-0.11,0.26
54,54,2025-10-02 23:30:00,-0.12,0.25
55,55,2025-10-03 00:30:00,-0.12,0.25
56,56,2025-10-03 01:30:00,-0.14,0.27
57,57,2025-10-03 02:30:00,-0.15,0.28
58,58,2025-10-03 03:30:00,-0.14,0.3
59,59,2025-10-03 04:30:00,-0.13,0.32
60,60,2025-10-03 05:30:00,-0.13,0.33
61,61,2025-10-03 06:30:00,-0.13,0.33
62,62,2025-10-03 07:30:00,-0.14,0.32
63,63,2025-10-03 08:30:00,-0.14,0.31
64,64,2025-10-03 09:30:00,-0.15,0.29
65,65,2025-10-03 10:30:00,-0.16,0.29
66,66,2025-10-03 11:30:00,-0.17,0.29
