Date,Depth,CorrTemp,CorrLow,CorrHigh
2024-01-01 09:30:00,5,7.760,6.650,8.860
2024-01-01 09:30:00,10,7.850,5.990,9.710
2024-01-01 09:30:00,15,8.330,5.790,10.880
2024-01-01 09:30:00,20,8.600,5.770,11.430
2024-01-01 09:30:00,30,8.760,6.120,11.390
2024-01-01 09:30:00,40,8.840,6.430,11.240
2024-01-01 10:30:00,5,7.760,6.650,8.860
2024-01-01 10:30:00,10,7.850,5.990,9.710
2024-01-01 10:30:00,15,8.330,5.790,10.880
2024-01-01 10:30:00,20,8.600,5.760,11.430
2024-01-01 10:30:00,30,8.760,6.120,11.390
2024-01-01 10:30:00,40,8.840,6.430,11.240
2024-01-01 11:30:00,5,7.761,6.651,8.861
2024-01-01 11:30:00,10,7.851,5.991,9.711
2024-01-01 11:30:00,15,8.331,5.791,10.881
2024-01-01 11:30:00,20,8.600,5.770,11.430
2024-01-01 11:30:00,30,8.760,6.130,11.400
2024-01-01 11:30:00,40,8.841,6.431,11.241
2024-01-01 12:30:00,5,7.761,6.651,8.861
2024-01-01 12:30:00,10,7.851,5.991,9.711
2024-01-01 12:30:00,15,8.331,5.791,10.881
2024-01-01 12:30:00,20,8.600,5.770,11.430
2024-01-01 12:30:00,30,8.760,6.130,11.400
2024-01-01 12:30:00,40,8.841,6.431,11.241
2024-01-01 13:30:00,5,7.761,6.651,8.861
2024-01-01 13:30:00,10,7.851,6.001,9.711
2024-01-01 13:30:00,15,8.331,5.791,10.881
2024-01-01 13:30:00,20,8.600,5.770,11.430
2024-01-01 13:30:00,30,8.760,6.120,11.390
2024-01-01 13:30:00,40,8.840,6.440,11.250
2024-01-01 14:30:00,5,7.759,6.649,8.859
2024-01-01 14:30:00,10,7.849,5.999,9.709
2024-01-01 14:30:00,15,8.329,5.789,10.879
2024-01-01 14:30:00,20,8.598,5.768,11.428
2024-01-01 14:30:00,30,8.758,6.118,11.388
2024-01-01 14:30:00,40,8.839,6.439,11.249
2024-01-01 15:30:00,5,7.757,6.647,8.857
2024-01-01 15:30:00,10,7.848,5.988,9.698
2024-01-01 15:30:00,15,8.328,5.778,10.868
2024-01-01 15:30:00,20,8.595,5.765,11.425
2024-01-01 15:30:00,30,8.755,6.115,11.385
2024-01-01 15:30:00,40,8.836,6.436,11.246
2024-01-01 16:30:00,5,7.753,6.653,8.863
2024-01-01 16:30:00,10,7.845,5.985,9.695
2024-01-01 16:30:00,15,8.325,5.775,10.865
2024-01-01 16:30:00,20,8.592,5.762,11.422
2024-01-01 16:30:00,30,8.752,6.112,11.382
2024-01-01 16:30:00,40,8.833,6.423,11.233
2024-01-01 17:30:00,5,7.749,6.649,8.859
2024-01-01 17:30:00,10,7.841,5.981,9.691
2024-01-01 17:30:00,15,8.321,5.771,10.861
