N,itm,Date,u,v
1,1,2025-10-29 18:30:00,0.65,-0.17
2,2,2025-10-29 19:30:00,0.85,-0.26
3,3,2025-10-29 20:30:00,0.95,-0.29
4,4,2025-10-29 21:30:00,0.98,-0.29
5,5,2025-10-29 22:30:00,0.99,-0.29
6,6,2025-10-29 23:30:00,0.96,-0.26
7,7,2025-10-30 00:30:00,0.91,-0.25
8,8,2025-10-30 01:30:00,0.84,-0.23
9,9,2025-10-30 02:30:00,0.75,-0.21
10,10,2025-10-30 03:30:00,0.66,-0.19
11,11,2025-10-30 04:30:00,0.56,-0.16
12,12,2025-10-30 05:30:00,0.45,-0.14
13,13,2025-10-30 06:30:00,0.33,-0.11
14,14,2025-10-30 07:30:00,0.22,-0.08
15,15,2025-10-30 08:30:00,0.11,-0.05
16,16,2025-10-30 09:30:00,0.03,-0.03
17,17,2025-10-30 10:30:00,-0.03,0.0
18,18,2025-10-30 11:30:00,-0.08,0.03
19,19,2025-10-30 12:30:00,-0.08,0.04
20,20,2025-10-30 13:30:00,-0.04,0.04
21,21,2025-10-30 14:30:00,0.05,0.03
22,22,2025-10-30 15:30:00,0.16,0.03
23,23,2025-10-30 16:30:00,0.24,0.02
24,24,2025-10-30 17:30:00,0.4,-0.05
25,25,2025-10-30 18:30:00,0.58,-0.15
26,26,2025-10-30 19:30:00,0.76,-0.22
27,27,2025-10-30 20:30:00,0.88,-0.28
28,28,2025-10-30 21:30:00,0.93,-0.3
29,29,2025-10-30 22:30:00,0.93,-0.29
30,30,2025-10-30 23:30:00,0.9,-0.27
31,31,2025-10-31 00:30:00,0.85,-0.25
32,32,2025-10-31 01:30:00,0.78,-0.23
33,33,2025-10-31 02:30:00,0.7,-0.21
34,34,2025-10-31 03:30:00,0.61,-0.19
35,35,2025-10-31 04:30:00,0.52,-0.17
36,36,2025-10-31 05:30:00,0.44,-0.15
37,37,2025-10-31 06:30:00,0.36,-0.14
38,38,2025-10-31 07:30:00,0.28,-0.12
39,39,2025-10-31 08:30:00,0.21,-0.09
40,40,2025-10-31 09:30:00,0.14,-0.07
41,41,2025-10-31 10:30:00,0.09,-0.05
42,42,2025-10-31 11:30:00,0.04,-0.02
43,43,2025-10-31 12:30:00,-0.0,0.01
44,44,2025-10-31 13:30:00,-0.01,0.04
45,45,2025-10-31 14:30:00,0.01,0.06
46,46,2025-10-31 15:30:00,0.08,0.05
47,47,2025-10-31 16:30:00,0.14,0.03
48,48,2025-10-31 17:30:00,0.2,0.01
49,49,2025-10-31 18:30:00,0.31,-0.03
50,50,2025-10-31 19:30:00,0.43,-0.1
51,51,2025-10-31 20:30:00,0.52,-0.15
52,52,2025-10-31 21:30:00,0.62,-0.19
53,53,2025-10-31 22:30:00,0.71,-0.22
