Site,Date,Depth,Temp,Source,ref_src,depth_used,dz,flag,dist_km,lon_used,lat_used,iy_used,ix_used,file
2_sar,2022-01-08,20,0.16342663764953613,MY,ANFC,18.495559692382812,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-09,5,-0.49797049909830093,MY,ANFC,5.078224182128906,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-09,10,-0.28409678488969803,MY,ANFC,9.572997093200684,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-09,15,0.16196174919605255,MY,ANFC,15.810070037841797,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-09,20,0.2930692657828331,MY,ANFC,18.495559692382812,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-10,5,-0.5983153581619263,MY,ANFC,5.078224182128906,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-10,10,-0.36979275941848755,MY,ANFC,9.572997093200684,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-10,15,0.09091465920209885,MY,ANFC,15.810070037841797,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-10,20,0.2908719331026077,MY,ANFC,18.495559692382812,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-11,5,-0.4130069687962532,MY,ANFC,5.078224182128906,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-11,10,-0.3324381038546562,MY,ANFC,9.572997093200684,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-11,15,-0.07608262449502945,MY,ANFC,15.810070037841797,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-11,20,0.04477067291736603,MY,ANFC,18.495559692382812,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-12,5,-0.013824865221977234,MY,ANFC,5.078224182128906,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-12,10,-0.007965311408042908,MY,ANFC,9.572997093200684,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-12,15,-0.000640869140625,MY,ANFC,15.810070037841797,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-12,20,0.0008240193128585815,MY,ANFC,18.495559692382812,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-13,5,-0.013092420995235443,MY,ANFC,5.078224182128906,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-13,10,-0.00943019986152649,MY,ANFC,9.572997093200684,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-13,15,0.005951128900051117,MY,ANFC,15.810070037841797,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-13,20,0.012543126940727234,MY,ANFC,18.495559692382812,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-14,5,-0.10757772624492645,MY,ANFC,5.078224182128906,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-14,10,-0.1039155051112175,MY,ANFC,9.572997093200684,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-14,15,-0.08560439944267273,MY,ANFC,15.810070037841797,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-14,20,-0.07827995717525482,MY,ANFC,18.495559692382812,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-15,5,-0.1749625951051712,MY,ANFC,5.078224182128906,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-15,10,-0.15591904520988464,MY,ANFC,9.572997093200684,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-15,15,-0.1346781626343727,MY,ANFC,15.810070037841797,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-15,20,-0.13174838572740555,MY,ANFC,18.495559692382812,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-16,5,-0.1361430510878563,MY,ANFC,5.078224182128906,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-16,10,-0.13394571840763092,MY,ANFC,9.572997093200684,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-16,15,-0.12295905500650406,MY,ANFC,15.810070037841797,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-16,20,-0.12222661077976227,MY,ANFC,18.495559692382812,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-17,5,-0.09878839552402496,MY,ANFC,5.078224182128906,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-17,10,-0.0958586186170578,MY,ANFC,9.572997093200684,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-17,15,-0.09366128593683243,MY,ANFC,15.810070037841797,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-17,20,-0.09366128593683243,MY,ANFC,18.495559692382812,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-18,5,-0.22110658138990402,MY,ANFC,5.078224182128906,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-18,10,-0.2064576968550682,MY,ANFC,9.572997093200684,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-18,15,-0.20206303149461746,MY,ANFC,15.810070037841797,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-18,20,-0.20133058726787567,MY,ANFC,18.495559692382812,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-19,5,-0.41886652261018753,MY,ANFC,5.078224182128906,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-19,10,-0.3478194326162338,MY,ANFC,9.572997093200684,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-19,15,-0.32877588272094727,MY,ANFC,15.810070037841797,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-19,20,-0.3265785500407219,MY,ANFC,18.495559692382812,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-20,5,-0.5939206928014755,MY,ANFC,5.078224182128906,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-20,10,-0.48918116837739944,MY,ANFC,9.572997093200684,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-20,15,-0.3903011977672577,MY,ANFC,15.810070037841797,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-20,20,-0.38590653240680695,MY,ANFC,18.495559692382812,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-21,5,-0.714773990213871,MY,ANFC,5.078224182128906,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
2_sar,2022-01-21,10,-0.6840113326907158,MY,ANFC,9.572997093200684,0.0,1,2.011441707919622,142.25,45.33333206176758,52,39,thetao_MY_20220101_20221231.nc
