Date,Depth,Temp,Salinity
2021-09-25 06:00:00,50,12.49,34.23
2021-09-25 06:00:00,65,10.40,34.20
2021-09-25 06:00:00,80,8.54,34.12
2021-09-26 01:00:00,5,19.58,34.18
2021-09-26 01:00:00,10,19.56,34.18
2021-09-26 01:00:00,15,19.53,34.18
2021-09-26 01:00:00,20,19.51,34.18
2021-09-26 01:00:00,30,19.35,34.18
2021-09-26 01:00:00,40,14.60,34.21
2021-09-26 02:00:00,5,19.46,34.35
2021-09-26 02:00:00,10,19.49,34.33
2021-09-26 02:00:00,15,19.50,34.32
2021-09-26 02:00:00,20,19.49,34.31
2021-09-26 02:00:00,30,19.05,34.29
2021-09-26 02:00:00,40,14.66,34.25
2021-09-26 02:00:00,50,12.81,34.28
2021-09-26 02:00:00,65,10.88,34.25
2021-09-26 02:00:00,80,8.27,34.17
2021-09-26 06:00:00,5,19.48,34.19
2021-09-26 06:00:00,10,19.48,34.18
2021-09-26 06:00:00,15,19.48,34.18
2021-09-26 06:00:00,20,19.48,34.18
2021-09-26 06:00:00,30,19.46,34.17
2021-09-26 06:00:00,40,14.01,34.25
2021-09-26 06:00:00,50,12.76,34.21
2021-09-26 06:00:00,65,11.28,34.18
2021-09-26 06:00:00,80,8.11,34.03
2021-09-26 08:00:00,5,19.51,34.23
2021-09-26 08:00:00,10,19.51,34.23
2021-09-26 08:00:00,15,19.51,34.24
2021-09-26 08:00:00,20,19.51,34.23
2021-09-26 08:00:00,30,17.76,34.27
2021-09-26 08:00:00,40,13.83,34.24
2021-09-26 08:00:00,50,12.29,34.25
2021-09-26 08:00:00,65,10.55,34.21
2021-09-26 08:00:00,80,8.35,34.17
2021-09-26 09:00:00,5,19.52,34.17
2021-09-26 09:00:00,10,19.50,34.17
2021-09-26 09:00:00,15,19.47,34.16
2021-09-26 09:00:00,20,19.45,34.17
2021-09-26 09:00:00,30,19.42,34.15
2021-09-26 09:00:00,40,14.94,34.18
2021-09-26 09:00:00,50,11.91,34.20
2021-09-26 09:00:00,65,10.13,34.14
2021-09-26 09:00:00,80,8.29,34.07
2021-09-27 02:00:00,5,19.91,34.16
2021-09-27 02:00:00,10,19.92,34.16
2021-09-27 02:00:00,15,19.92,34.17
2021-09-27 02:00:00,20,19.90,34.17
2021-09-27 02:00:00,30,19.68,33.81
2021-09-27 02:00:00,40,13.53,34.10
2021-09-27 02:00:00,50,12.55,34.23
2021-09-27 02:00:00,65,11.22,34.20
2021-09-27 02:00:00,80,9.41,34.05
2021-09-27 05:00:00,5,19.95,34.13
2021-09-27 05:00:00,10,19.95,34.14
2021-09-27 05:00:00,15,19.95,34.13
2021-09-27 05:00:00,20,19.95,34.14
2021-09-27 05:00:00,30,17.51,34.18
2021-09-27 05:00:00,40,13.53,34.15
2021-09-27 05:00:00,50,12.60,34.23
2021-09-27 05:00:00,65,11.24,34.22
2021-09-27 05:00:00,80,8.97,34.14
2021-09-27 06:00:00,5,19.86,34.11
2021-09-27 06:00:00,10,19.85,34.12
2021-09-27 06:00:00,15,19.85,34.09
2021-09-27 06:00:00,20,19.83,34.10
2021-09-27 06:00:00,30,17.62,34.29
2021-09-27 06:00:00,40,13.53,34.19
2021-09-27 06:00:00,50,12.65,34.19
2021-09-27 06:00:00,65,11.33,34.20
2021-09-27 06:00:00,80,9.13,34.21
2021-09-28 02:00:00,5,19.81,34.21
2021-09-28 02:00:00,10,19.83,34.19
2021-09-28 02:00:00,15,19.83,34.20
2021-09-28 02:00:00,20,19.77,34.21
2021-09-28 02:00:00,30,17.81,33.93
2021-09-28 02:00:00,40,13.60,34.11
2021-09-28 02:00:00,50,12.80,34.23
2021-09-28 02:00:00,65,11.50,34.15
2021-09-28 02:00:00,80,9.74,34.18
2021-09-28 06:00:00,5,19.79,34.17
2021-09-28 06:00:00,10,19.79,34.16
2021-09-28 06:00:00,15,19.79,34.17
2021-09-28 06:00:00,20,19.79,34.16
2021-09-28 06:00:00,30,18.18,34.15
2021-09-28 06:00:00,40,13.49,34.09
2021-09-28 06:00:00,50,12.60,34.22
2021-09-28 06:00:00,65,11.46,34.25
2021-09-28 06:00:00,80,10.22,34.18
2021-09-28 07:00:00,5,19.83,34.17
2021-09-28 07:00:00,10,19.84,34.17
2021-09-28 07:00:00,15,19.84,34.17
2021-09-28 07:00:00,20,19.84,34.17
2021-09-28 07:00:00,30,18.79,34.18
2021-09-28 07:00:00,40,13.73,34.12
2021-09-28 07:00:00,50,12.87,34.23
2021-09-28 07:00:00,65,11.32,34.23
2021-09-28 07:00:00,80,9.71,34.17
2021-09-29 02:00:00,5,19.69,34.13
2021-09-29 02:00:00,10,19.69,34.14
2021-09-29 02:00:00,15,19.70,34.15
2021-09-29 02:00:00,20,19.69,34.16
2021-09-29 02:00:00,30,14.52,34.47
2021-09-29 02:00:00,40,12.84,34.31
2021-09-29 02:00:00,50,11.85,34.49
2021-09-29 02:00:00,65,10.47,34.27
2021-09-29 02:00:00,80,8.64,34.29
2021-09-29 02:00:00,100,7.50,33.74
2021-09-29 05:00:00,5,19.77,34.17
2021-09-29 05:00:00,10,19.77,34.17
2021-09-29 05:00:00,15,19.77,34.17
2021-09-29 05:00:00,20,19.70,34.16
2021-09-29 05:00:00,30,14.22,34.04
2021-09-29 05:00:00,40,13.11,34.25
2021-09-29 05:00:00,50,12.30,34.27
2021-09-29 05:00:00,65,10.80,34.24
2021-09-29 05:00:00,80,8.91,34.16
2021-09-29 06:00:00,5,19.68,34.09
2021-09-29 06:00:00,10,19.67,34.08
2021-09-29 06:00:00,15,19.66,34.06
2021-09-29 06:00:00,20,19.30,34.02
2021-09-29 06:00:00,30,13.84,33.98
2021-09-29 06:00:00,40,12.74,34.20
2021-09-29 06:00:00,50,11.85,34.18
2021-09-29 06:00:00,65,10.48,34.15
2021-09-29 06:00:00,80,9.34,34.11
2021-09-29 06:00:00,100,7.68,34.07
2021-10-01 02:00:00,5,19.35,34.25
2021-10-01 02:00:00,10,19.38,34.26
2021-10-01 02:00:00,15,19.38,34.26
2021-10-01 02:00:00,20,19.28,34.24
2021-10-01 02:00:00,30,14.02,34.81
2021-10-01 02:00:00,40,12.00,34.32
2021-10-01 02:00:00,50,10.86,34.23
2021-10-01 02:00:00,65,9.37,34.18
2021-10-01 02:00:00,80,8.00,34.14
2021-10-01 05:00:00,5,19.30,34.13
2021-10-01 05:00:00,10,19.30,34.13
2021-10-01 05:00:00,15,19.30,34.13
2021-10-01 05:00:00,20,19.29,34.13
2021-10-01 05:00:00,30,13.76,34.16
2021-10-01 05:00:00,40,12.30,34.18
2021-10-01 05:00:00,50,10.95,34.13
2021-10-01 05:00:00,65,9.32,34.08
2021-10-01 05:00:00,80,8.12,34.05
2021-10-01 06:00:00,5,19.32,34.15
2021-10-01 06:00:00,10,19.33,34.16
2021-10-01 06:00:00,15,19.33,34.16
2021-10-01 06:00:00,20,19.32,34.15
2021-10-01 06:00:00,30,18.06,34.36
2021-10-01 06:00:00,40,12.42,34.22
2021-10-01 06:00:00,50,11.49,34.15
2021-10-01 06:00:00,65,9.77,34.12
2021-10-01 06:00:00,80,7.98,34.12
2021-10-01 08:00:00,5,19.47,34.26
2021-10-01 08:00:00,10,19.47,34.25
2021-10-01 08:00:00,15,19.46,34.25
2021-10-01 08:00:00,20,19.45,34.25
2021-10-01 08:00:00,30,19.09,34.26
2021-10-01 08:00:00,40,13.61,34.29
2021-10-01 08:00:00,50,12.38,34.27
2021-10-01 08:00:00,65,10.02,34.21
2021-10-01 08:00:00,80,8.65,34.18
2021-10-02 02:00:00,5,19.41,34.19
2021-10-02 02:00:00,10,19.42,34.22
2021-10-02 02:00:00,15,19.39,34.21
2021-10-02 02:00:00,20,19.36,34.22
2021-10-02 02:00:00,30,18.93,34.07
2021-10-02 02:00:00,40,13.36,34.22
2021-10-02 02:00:00,50,11.87,34.20
2021-10-02 02:00:00,65,10.19,34.18
2021-10-02 02:00:00,80,8.96,34.18
2021-10-02 06:00:00,5,19.15,34.10
2021-10-02 06:00:00,10,19.14,34.11
2021-10-02 06:00:00,15,19.14,34.07
2021-10-02 06:00:00,20,19.14,34.08
2021-10-02 06:00:00,30,17.25,34.77
2021-10-02 06:00:00,40,11.82,34.12
2021-10-02 06:00:00,50,10.38,34.12
2021-10-02 06:00:00,65,9.46,34.08
2021-10-02 06:00:00,80,8.41,34.08
2021-10-02 08:00:00,5,19.30,34.23
2021-10-02 08:00:00,10,19.30,34.23
2021-10-02 08:00:00,15,19.29,34.22
2021-10-02 08:00:00,20,19.29,34.22
2021-10-02 08:00:00,30,17.92,34.12
2021-10-02 08:00:00,40,12.26,34.25
2021-10-02 08:00:00,50,10.86,34.22
2021-10-02 08:00:00,65,9.61,34.18
2021-10-02 08:00:00,80,8.20,34.14
2021-10-03 02:00:00,5,19.10,34.21
2021-10-03 02:00:00,10,19.12,34.23
2021-10-03 02:00:00,15,19.11,34.22
2021-10-03 02:00:00,20,19.11,34.22
2021-10-03 02:00:00,30,19.06,34.21
2021-10-03 02:00:00,40,12.76,34.24
2021-10-03 02:00:00,50,11.29,34.23
2021-10-03 02:00:00,65,9.70,34.18
2021-10-03 02:00:00,80,8.52,34.14
2021-10-03 05:00:00,5,19.11,34.19
2021-10-03 05:00:00,10,19.11,34.20
2021-10-03 05:00:00,15,19.10,34.19
2021-10-03 05:00:00,20,19.10,34.20
2021-10-03 05:00:00,30,19.07,34.19
2021-10-03 05:00:00,40,12.55,34.22
2021-10-03 05:00:00,50,11.44,34.20
2021-10-03 05:00:00,65,9.69,34.14
2021-10-03 05:00:00,80,8.92,34.12
2021-10-05 02:00:00,5,18.59,34.20
2021-10-05 02:00:00,10,18.60,34.22
2021-10-05 02:00:00,15,18.61,34.21
2021-10-05 02:00:00,20,18.60,34.20
2021-10-05 02:00:00,30,16.83,33.58
2021-10-05 02:00:00,40,12.24,34.17
2021-10-05 02:00:00,50,10.94,34.08
2021-10-05 02:00:00,65,10.39,34.22
2021-10-05 02:00:00,80,10.26,34.16
2021-10-05 03:00:00,80,9.74,34.12
2021-10-05 04:00:00,80,9.38,34.10
2021-10-05 05:00:00,80,9.07,34.10
2021-10-05 06:00:00,5,18.54,34.16
2021-10-05 06:00:00,10,18.52,34.14
2021-10-05 06:00:00,15,18.52,34.15
2021-10-05 06:00:00,20,17.84,34.16
2021-10-05 06:00:00,30,12.93,34.16
2021-10-05 06:00:00,40,12.01,34.13
2021-10-05 06:00:00,50,11.00,34.14
2021-10-05 06:00:00,65,9.21,34.09
2021-10-05 06:00:00,80,9.02,34.09
2021-10-05 08:00:00,5,18.51,34.21
2021-10-05 08:00:00,10,18.51,34.21
2021-10-05 08:00:00,15,18.51,34.21
2021-10-05 08:00:00,20,18.50,34.21
2021-10-05 08:00:00,30,17.15,34.21
2021-10-05 08:00:00,40,12.03,34.23
2021-10-05 08:00:00,50,10.76,34.21
2021-10-05 08:00:00,65,9.22,34.16
2021-10-05 08:00:00,80,8.52,34.14
2021-10-06 02:00:00,5,18.52,34.16
2021-10-06 02:00:00,10,18.51,34.14
2021-10-06 02:00:00,15,18.51,34.14
2021-10-06 02:00:00,20,18.50,34.13
2021-10-06 02:00:00,30,18.42,34.13
2021-10-06 02:00:00,40,15.49,34.17
2021-10-06 02:00:00,50,11.62,34.17
2021-10-06 02:00:00,65,9.39,34.13
2021-10-06 02:00:00,80,8.40,34.10
2021-10-06 05:00:00,5,18.43,34.15
2021-10-06 05:00:00,10,18.43,34.14
