Site,Date,Depth,chl,Source
4_ris,2020-01-16,15,0.5276405811309814,MY
4_ris,2020-01-16,20,0.5015367865562439,MY
4_ris,2020-01-16,30,0.3765919208526611,MY
4_ris,2020-01-16,40,0.3269101679325104,MY
4_ris,2020-01-16,50,0.3178691565990448,MY
4_ris,2020-01-17,5,0.5690081715583801,MY
4_ris,2020-01-17,10,0.5570752620697021,MY
4_ris,2020-01-17,15,0.5373100638389587,MY
4_ris,2020-01-17,20,0.514869749546051,MY
4_ris,2020-01-17,30,0.3891741335391998,MY
4_ris,2020-01-17,40,0.3335391581058502,MY
4_ris,2020-01-17,50,0.3240532577037811,MY
4_ris,2020-01-18,5,0.5848297476768494,MY
4_ris,2020-01-18,10,0.5744508504867554,MY
4_ris,2020-01-18,15,0.5561614632606506,MY
4_ris,2020-01-18,20,0.5306614637374878,MY
4_ris,2020-01-18,30,0.4057981371879577,MY
4_ris,2020-01-18,40,0.3426658511161804,MY
4_ris,2020-01-18,50,0.328277975320816,MY
4_ris,2020-01-19,5,0.6069994568824768,MY
4_ris,2020-01-19,10,0.5976754426956177,MY
4_ris,2020-01-19,15,0.5781201720237732,MY
4_ris,2020-01-19,20,0.5484336018562317,MY
4_ris,2020-01-19,30,0.4193010926246643,MY
4_ris,2020-01-19,40,0.3516059517860412,MY
4_ris,2020-01-19,50,0.3309149444103241,MY
4_ris,2020-01-20,5,0.6197851300239563,MY
4_ris,2020-01-20,10,0.6098774075508118,MY
4_ris,2020-01-20,15,0.5881968140602112,MY
4_ris,2020-01-20,20,0.554760754108429,MY
4_ris,2020-01-20,30,0.423686146736145,MY
4_ris,2020-01-20,40,0.3554380536079407,MY
4_ris,2020-01-20,50,0.331927090883255,MY
4_ris,2020-01-21,5,0.6140998005867004,MY
4_ris,2020-01-21,10,0.6109687685966492,MY
4_ris,2020-01-21,15,0.5910406112670898,MY
4_ris,2020-01-21,20,0.5589351058006287,MY
4_ris,2020-01-21,30,0.4338774979114532,MY
4_ris,2020-01-21,40,0.3586689233779907,MY
4_ris,2020-01-21,50,0.3332239389419555,MY
4_ris,2020-01-22,5,0.6106261014938354,MY
4_ris,2020-01-22,10,0.6099525094032288,MY
4_ris,2020-01-22,15,0.5997879505157471,MY
4_ris,2020-01-22,20,0.5724076628684998,MY
4_ris,2020-01-22,30,0.4492757320404053,MY
4_ris,2020-01-22,40,0.372521162033081,MY
4_ris,2020-01-22,50,0.3469959497451782,MY
4_ris,2020-01-23,5,0.6157442927360535,MY
4_ris,2020-01-23,10,0.6142409443855286,MY
4_ris,2020-01-23,15,0.6082237958908081,MY
4_ris,2020-01-23,20,0.5878209471702576,MY
4_ris,2020-01-23,30,0.4747515618801117,MY
4_ris,2020-01-23,40,0.3864314258098602,MY
4_ris,2020-01-23,50,0.3617441952228546,MY
4_ris,2020-01-24,5,0.5617523789405823,MY
4_ris,2020-01-24,10,0.5613945722579956,MY
4_ris,2020-01-24,15,0.560876190662384,MY
4_ris,2020-01-24,20,0.5594573616981506,MY
4_ris,2020-01-24,30,0.5372148752212524,MY
4_ris,2020-01-24,40,0.436195820569992,MY
4_ris,2020-01-24,50,0.3860500752925873,MY
4_ris,2020-01-25,5,0.5173681974411011,MY
4_ris,2020-01-25,10,0.5172277092933655,MY
4_ris,2020-01-25,15,0.517055332660675,MY
4_ris,2020-01-25,20,0.5167559385299683,MY
4_ris,2020-01-25,30,0.5152372717857361,MY
4_ris,2020-01-25,40,0.4721083343029022,MY
4_ris,2020-01-25,50,0.4052101969718933,MY
4_ris,2020-01-26,5,0.5097774267196655,MY
4_ris,2020-01-26,10,0.5095760822296143,MY
4_ris,2020-01-26,15,0.5093427896499634,MY
4_ris,2020-01-26,20,0.5089741349220276,MY
4_ris,2020-01-26,30,0.5070933103561401,MY
4_ris,2020-01-26,40,0.4416781067848205,MY
4_ris,2020-01-26,50,0.3747507929801941,MY
4_ris,2020-01-27,5,0.5205526947975159,MY
4_ris,2020-01-27,10,0.5201394557952881,MY
4_ris,2020-01-27,15,0.5194242596626282,MY
4_ris,2020-01-27,20,0.517676591873169,MY
4_ris,2020-01-27,30,0.5096800923347473,MY
4_ris,2020-01-27,40,0.4222082495689392,MY
4_ris,2020-01-27,50,0.359167993068695,MY
4_ris,2020-01-28,5,0.5364740490913391,MY
4_ris,2020-01-28,10,0.5368350744247437,MY
4_ris,2020-01-28,15,0.5357505679130554,MY
4_ris,2020-01-28,20,0.5312789082527161,MY
4_ris,2020-01-28,30,0.5113798975944519,MY
4_ris,2020-01-28,40,0.4254065752029419,MY
4_ris,2020-01-28,50,0.3655713498592376,MY
4_ris,2020-01-29,5,0.5302029252052307,MY
4_ris,2020-01-29,10,0.5298764109611511,MY
4_ris,2020-01-29,15,0.5286442637443542,MY
4_ris,2020-01-29,20,0.5251829624176025,MY
4_ris,2020-01-29,30,0.5092094540596008,MY
4_ris,2020-01-29,40,0.4687913358211517,MY
4_ris,2020-01-29,50,0.3917781710624695,MY
4_ris,2020-01-30,5,0.4508840143680572,MY
4_ris,2020-01-30,10,0.4505710899829864,MY
4_ris,2020-01-30,15,0.4501710534095764,MY
4_ris,2020-01-30,20,0.4494672417640686,MY
4_ris,2020-01-30,30,0.44666188955307,MY
4_ris,2020-01-30,40,0.430640161037445,MY
4_ris,2020-01-30,50,0.4091688394546509,MY
4_ris,2020-01-31,5,0.4006916582584381,MY
4_ris,2020-01-31,10,0.4004442393779754,MY
4_ris,2020-01-31,15,0.4001598358154297,MY
4_ris,2020-01-31,20,0.3997181951999664,MY
4_ris,2020-01-31,30,0.3978932797908783,MY
4_ris,2020-01-31,40,0.3759025633335113,MY
4_ris,2020-01-31,50,0.3699042499065399,MY
4_ris,2020-02-01,5,0.4070540070533752,MY
4_ris,2020-02-01,10,0.4066513180732727,MY
4_ris,2020-02-01,15,0.406119555234909,MY
4_ris,2020-02-01,20,0.405094712972641,MY
4_ris,2020-02-01,30,0.3991636037826538,MY
4_ris,2020-02-01,40,0.3579666316509247,MY
4_ris,2020-02-01,50,0.3496988415718078,MY
